コード,銘柄名,業種
1605,INPEX,エネルギー
1928,積水ハウス,建設
2503,キリンHD,食品
2914,JT,食品
3407,旭化成,化学
4183,三井化学,化学
4502,武田薬品工業,医薬品
5020,ENEOS HD,エネルギー
5108,ブリヂストン,輸送用機器周辺
5401,日本製鉄,鉄鋼
6301,コマツ,機械
6902,デンソー,輸送用機器
7203,トヨタ自動車,輸送用機器
7267,ホンダ,輸送用機器
7272,ヤマハ発動機,輸送用機器
8001,伊藤忠商事,商社
8002,丸紅,商社
8031,三井物産,商社
8053,住友商事,商社
8058,三菱商事,商社
8306,三菱UFJ FG,銀行
8316,三井住友FG,銀行
8411,みずほFG,銀行
8424,芙蓉総合リース,リース
8439,東京センチュリー,リース
8591,オリックス,その他金融
8593,三菱HCキャピタル,その他金融
8725,MS&AD,保険
8750,第一生命HD,保険
8766,東京海上HD,保険
8795,T&D HD,保険
9432,NTT,通信
9433,KDDI,通信
9434,ソフトバンク,通信
